title,hotels_result,hotels_price_restlt
桂林山水周边酒店,"['桂林柳钢桂林疗养院', '维也纳酒店(桂林万福广场店)', '城市便捷酒店(桂林瓦窑批发城店)', '桂林鑫昌商务酒店', '骏怡商务酒店（桂林万福广场店）', '雅斯特酒店(桂林万福广场店)', '桂林德盛便捷酒店', '桂林德天宾馆']","['128', '102', '68', '97', '75', '114', '49', '49']"
漓江周边酒店,"['桂林26°酒店', '桂林文文阿姨普通公寓', '桂林悦舍公寓', '星驿国际服务公寓(桂林万达广场店)', '旭阳主题酒店公寓(桂林万达店)', '万腾酒店公寓(桂林万达七星店)', '桂林斯维登度假公寓(高新万达)', '桂林万达华府SOHO公寓']","['99', '246', '219', '50', '134', '79', '126', '388']"
NA,[],[]
西街周边酒店,"['阳朔外泊家遇见客栈', '既见・乡榭酒店(阳朔十里画廊店)', '阳朔旅安居客栈', '阳朔璞闲居采茶山庄', '阳朔盛兴阁', '阳朔蔽龙阁', '阳朔福景山客栈', '阳朔赏榕客栈']","['207', '339', '59', '438', '241', '274', '129', '55']"
龙胜梯田周边酒店,"['柠檬湾酒店(桂林高新万达店)', '桂林美天宾馆', '浦江大酒店(桂林火车站店)', '桂林南星谊美酒店', '桂林城市梦想酒店', '桂林四建精品酒店', '桂林鑫悦宾馆', '桂林豪帝宾馆']","['90', '42', '60', '68', '92', '107', '60', '150']"
印象刘三姐周边酒店,"['阳朔七仙峰茶园客栈', '阳朔县益佳客栈', '桂林阳朔陈家花园西街分店客栈', '桂林兴坪山水美宿渔家乐(总统之旅店)']","['142', '69', '98', '448']"
象鼻山周边酒店,"['柠檬湾酒店(桂林高新万达店)', '桂林美天宾馆', '浦江大酒店(桂林火车站店)', '桂林南星谊美酒店', '桂林城市梦想酒店', '桂林四建精品酒店', '桂林鑫悦宾馆', '桂林豪帝宾馆']","['90', '42', '60', '68', '92', '107', '60', '150']"
两江四湖周边酒店,"['柠檬湾酒店(桂林高新万达店)', '桂林美天宾馆', '浦江大酒店(桂林火车站店)', '桂林南星谊美酒店', '桂林城市梦想酒店', '桂林四建精品酒店', '桂林鑫悦宾馆', '桂林豪帝宾馆']","['90', '42', '60', '68', '92', '107', '60', '150']"
七星公园周边酒店,"['桂林凯嘉假日酒店', '桂林假日之星精品酒店', '桂林乐居宾馆', '柠檬湾酒店(桂林高新万达店)', '桂林美天宾馆', '浦江大酒店(桂林火车站店)', '桂林南星谊美酒店', '桂林城市梦想酒店']","['58', '58', '51', '90', '42', '60', '68', '92']"
乐满地周边酒店,"['兴安乐满地度假酒店', '七天阁商务酒店(兴安乐满地店)', '兴安帝豪大酒店', '兴安福鑫宾馆', '兴安锦佳商务宾馆', '7天连锁酒店(兴安乐满地店)', '城市便捷酒店(兴安店)', '兴安丰泰酒店']","['400', '138', '165', '30', '49', '60', '72', '38']"
世外桃源周边酒店,"['阳朔鸿谊宾馆', '阳朔祥隆宾馆', '阳朔嘉诚民宿', '阳朔肖氏宾馆', '阳朔刘哥宾馆', '阳朔胡林宾馆', '阳朔诚诚宾馆', '桂林休闲驿站']","['121', '55', '98', '69', '113', '49', '109', '58']"
银子岩周边酒店,"['桂林柳钢桂林疗养院', '维也纳酒店(桂林万福广场店)', '城市便捷酒店(桂林瓦窑批发城店)', '桂林鑫昌商务酒店', '骏怡商务酒店（桂林万福广场店）', '雅斯特酒店(桂林万福广场店)', '桂林德盛便捷酒店', '桂林德天宾馆']","['128', '102', '68', '97', '75', '114', '49', '49']"
遇龙河周边酒店,"['柠檬湾酒店(桂林高新万达店)', '桂林美天宾馆', '浦江大酒店(桂林火车站店)', '桂林南星谊美酒店', '桂林城市梦想酒店', '桂林四建精品酒店', '桂林鑫悦宾馆', '桂林豪帝宾馆']","['90', '42', '60', '68', '92', '107', '60', '150']"
王城周边酒店,"['桂林瓦窑旅馆', '维也纳国际酒店(桂林万达店)', '金海宾馆(桂林瓦窑店)', '桂林华安宾馆', '桂林旺鑫宾馆', '城市便捷酒店(桂林瓦窑店)', '桂林祥发宾馆', '桂林春江宾馆']","['28', '113', '51', '77', '34', '68', '68', '68']"
龙脊梯田周边酒店,"['柠檬湾酒店(桂林高新万达店)', '桂林美天宾馆', '浦江大酒店(桂林火车站店)', '桂林南星谊美酒店', '桂林城市梦想酒店', '桂林四建精品酒店', '桂林鑫悦宾馆', '桂林豪帝宾馆']","['90', '42', '60', '68', '92', '107', '60', '150']"
冠岩周边酒店,"['桂林柳钢桂林疗养院', '维也纳酒店(桂林万福广场店)', '城市便捷酒店(桂林瓦窑批发城店)', '桂林鑫昌商务酒店', '骏怡商务酒店（桂林万福广场店）', '雅斯特酒店(桂林万福广场店)', '桂林德盛便捷酒店', '桂林德天宾馆']","['128', '102', '68', '97', '75', '114', '49', '49']"
古东瀑布周边酒店,"['柠檬湾酒店(桂林高新万达店)', '桂林美天宾馆', '浦江大酒店(桂林火车站店)', '桂林南星谊美酒店', '桂林城市梦想酒店', '桂林四建精品酒店', '桂林鑫悦宾馆', '桂林豪帝宾馆']","['90', '42', '60', '68', '92', '107', '60', '150']"
NA,[],[]
兴安灵渠周边酒店,"['柠檬湾酒店(桂林高新万达店)', '桂林美天宾馆', '浦江大酒店(桂林火车站店)', '桂林南星谊美酒店', '桂林城市梦想酒店', '桂林四建精品酒店', '桂林鑫悦宾馆', '桂林豪帝宾馆']","['90', '42', '60', '68', '92', '107', '60', '150']"
猫儿山周边酒店,"['桂林原乡生活客栈', '桂林创兴大酒店', '桂林翡翠宾馆', '7天连锁酒店(桂林七星路师范大学店)', '桂林荣华商务宾馆', '桂林翻滚吧动漫主题青年旅社', '桂林华侨大厦', '桂林紫藤花大酒店']","['102', '119', '48', '65', '58', '25', '159', '75']"
NA,[],[]
良凤江周边酒店,"['南宁福裕宾馆', '城市便捷酒店(南宁玉洞金象地铁站店)', '南宁展翔宾馆', '南宁春宁旅馆', 'OYO南宁锦祥商务酒店', '南宁美人鱼商务酒店', '南宁银海便捷酒店', '居家便捷酒店(南宁银海店)']","['87', '183', '55', '38', '50', '59', '50', '191']"
NA,[],[]
大王滩周边酒店,['南宁大王滩酒店'],['223']
龙虎山周边酒店,"['南宁曙光宾馆', '南宁红灯笼商务酒店', '南宁凯美便捷酒店', '南宁辉达宾馆', '南宁春都旅馆', '南宁东宝宾馆', '南宁镜皇宾馆', '南宁鑫和时尚商务宾馆']","['38', '59', '70', '42', '59', '68', '85', '49']"
南宁海底世界周边酒店,"['南宁柏龙菲尔酒店', '南宁金固商务宾馆', '南宁尚易酒店', '南宁荔园山庄', '南宁三叶酒店', '南宁千里旺来主题公寓', '南宁柳盛旅馆', '美晚酒店(南宁亭江店)']","['69', '10', '67', '688', '308', '92', '35', '128']"
龙门瀑布周边酒店,"['南宁品舒酒店', '派酒店(南宁江南万达广场石柱岭地铁站店)', '南宁雍锦商旅酒店', '南宁倡源酒店', '南宁柏龙菲尔酒店', '南宁金固商务宾馆', '南宁尚易酒店', '南宁荔园山庄']","['58', '129', '139', '75', '69', '10', '67', '688']"
南宁云顶观光周边酒店,"['南宁品舒酒店', '派酒店(南宁江南万达广场石柱岭地铁站店)', '南宁雍锦商旅酒店', '南宁倡源酒店', '南宁柏龙菲尔酒店', '南宁金固商务宾馆', '南宁尚易酒店', '南宁荔园山庄']","['58', '129', '139', '75', '69', '10', '67', '688']"
广西药用植物园周边酒店,"['城市便捷酒店(南宁新竹路广西电视台店)', '南宁鑫凯宾馆', '城市便捷酒店(南宁金花茶店)', '华谊・栖曼酒店(南宁新竹路店)', '钟意旅社(南宁民生店)', '格子微酒店(南宁金湖广场店)', '南宁饭店', '广西发改委培训中心宾馆']","['89', '46', '79', '69', '66', '50', '310', '73']"
凤岭水世界周边酒店,"['南宁倡源酒店', '南宁荔园山庄', '南宁柳盛旅馆', '南宁伟明商务宾馆', '南宁柳沙招待所', '南宁柳恒商务宾馆', '南宁帝豪国际大酒店', '格子微酒店(南宁竹溪大道店)']","['75', '688', '35', '108', '38', '61', '179', '50']"
良凤江国家森林公园周边酒店,"['南宁菩提山庄', '南宁正龙大酒店', '南宁喜满天宾馆', '南宁鸿进旅馆', '南宁玉龙宾馆', '南宁福裕宾馆', '城市便捷酒店(南宁玉洞金象地铁站店)', '南宁展翔宾馆']","['295', '118', '58', '48', '32', '87', '183', '55']"
九曲湾温泉周边酒店,"['南宁美辰时尚公寓', '广西怡养花园大酒店', '南宁千成商务酒店', '开泰商务宾馆(南宁昆仑大道店)', '南宁金立方大酒店', '南宁东桥便捷酒店', '南宁福霖大酒店', '南宁吉来客栈']","['42', '343', '68', '59', '187', '57', '138', '85']"
小连城周边酒店,"['南宁曙光宾馆', '南宁红灯笼商务酒店', '南宁凯美便捷酒店', '南宁辉达宾馆', '南宁春都旅馆', '南宁东宝宾馆', '南宁镜皇宾馆', '南宁鑫和时尚商务宾馆']","['38', '59', '70', '42', '59', '68', '85', '49']"
NA,[],[]
凤岭摩天轮周边酒店,"['南宁荔园山庄', '南宁柳恒商务宾馆', '格子微酒店(南宁竹溪大道店)', '南宁威尼斯酒店', '南宁皇家花园酒店', '南宁澳莹酒店', '泊尔顿酒店(南宁青秀山会展中心店)', '城市便捷酒店(南宁青秀山店)']","['688', '61', '50', '61', '92', '66', '240', '204']"
NA,[],[]
NA,[],[]
NA,[],[]
NA,[],[]
NA,[],[]
石表山周边酒店,"['城市便捷酒店(梧州三龙大道政务中心店)', '梧州二房一厅高层小清新偷闲小屋', '梧州7日优品酒店', '梧州赣兴旅馆', '18精品酒店(梧州河东店)', '梧州伯豪酒店', '梧州夏威夷假日酒店', '梧州白云江景大酒店']","['245', '210', '50', '50', '56', '106', '55', '122']"
梧州岑溪石庙周边酒店,"['岑溪喜来登宾馆', '广西梧州岑溪市宜家大酒店', '岑溪泰隆大酒店', '岑溪广都大酒店', '岑溪华厦大酒店', '岑溪天然居旅业', '岑溪源峰大酒店', '岑溪印象100时尚酒店']","['55', '80', '56', '67', '120', '112', '131', '70']"
天龙顶周边酒店,"['城市便捷酒店(梧州三龙大道政务中心店)', '梧州二房一厅高层小清新偷闲小屋', '梧州7日优品酒店', '梧州赣兴旅馆', '18精品酒店(梧州河东店)', '梧州伯豪酒店', '梧州夏威夷假日酒店', '梧州白云江景大酒店']","['245', '210', '50', '50', '56', '106', '55', '122']"
NA,[],[]
蝴蝶谷周边酒店,"['藤县精通酒店', '藤县维尼便捷酒店', '藤县来往时尚酒店', '藤县新苑宾馆', '藤县腾隆宾馆', '藤县洲洋宾馆', '藤县金丰宾馆', '藤县华轩旅馆']","['120', '60', '88', '39', '87', '50', '59', '33']"
鸳鸯江周边酒店,"['梧州二房一厅高层小清新偷闲小屋', '梧州7日优品酒店', '梧州赣兴旅馆', '18精品酒店(梧州河东店)', '梧州伯豪酒店', '梧州夏威夷假日酒店', '梧州白云江景大酒店', '梧州赣发旅馆']","['210', '50', '50', '56', '106', '55', '122', '40']"
岑溪吉太漂流周边酒店,['岑溪天龙山庄'],['168']
NA,[],[]
NA,[],[]
骑楼城周边酒店,"['梧州二房一厅高层小清新偷闲小屋', '梧州7日优品酒店', '梧州赣兴旅馆', '18精品酒店(梧州河东店)', '梧州伯豪酒店', '梧州夏威夷假日酒店', '梧州白云江景大酒店', '梧州赣发旅馆']","['210', '50', '50', '56', '106', '55', '122', '40']"
NA,[],[]
天书峡谷周边酒店,"['城市便捷酒店(梧州三龙大道政务中心店)', '梧州二房一厅高层小清新偷闲小屋', '梧州7日优品酒店', '梧州赣兴旅馆', '18精品酒店(梧州河东店)', '梧州伯豪酒店', '梧州夏威夷假日酒店', '梧州白云江景大酒店']","['245', '210', '50', '50', '56', '106', '55', '122']"
大爽河周边酒店,"['城市便捷酒店(梧州三龙大道政务中心店)', '梧州二房一厅高层小清新偷闲小屋', '梧州7日优品酒店', '梧州赣兴旅馆', '18精品酒店(梧州河东店)', '梧州伯豪酒店', '梧州夏威夷假日酒店', '梧州益海便捷酒店']","['245', '210', '50', '50', '56', '106', '55', '91']"
自驾车营地周边酒店,"['梧州二房一厅高层小清新偷闲小屋', '梧州7日优品酒店', '梧州赣兴旅馆', '18精品酒店(梧州河东店)', '梧州伯豪酒店', '梧州夏威夷假日酒店', '梧州白云江景大酒店', '梧州赣发旅馆']","['210', '50', '50', '56', '106', '55', '122', '40']"
六堡茶园周边酒店,"['城市便捷酒店(梧州三龙大道政务中心店)', '梧州二房一厅高层小清新偷闲小屋', '梧州7日优品酒店', '梧州赣兴旅馆', '18精品酒店(梧州河东店)', '梧州伯豪酒店', '梧州夏威夷假日酒店', '梧州白云江景大酒店']","['245', '210', '50', '50', '56', '106', '55', '122']"
蛇园周边酒店,"['城市便捷酒店(梧州三龙大道政务中心店)', '梧州二房一厅高层小清新偷闲小屋', '梧州7日优品酒店', '梧州赣兴旅馆', '18精品酒店(梧州河东店)', '梧州伯豪酒店', '梧州夏威夷假日酒店', '梧州白云江景大酒店']","['245', '210', '50', '50', '56', '106', '55', '122']"
四恩寺周边酒店,"['梧州二房一厅高层小清新偷闲小屋', '梧州7日优品酒店', '梧州赣兴旅馆', '18精品酒店(梧州河东店)', '梧州伯豪酒店', '梧州夏威夷假日酒店', '梧州白云江景大酒店', '梧州赣发旅馆']","['210', '50', '50', '56', '106', '55', '122', '40']"
太平狮山周边酒店,"['藤县宏业大酒店', '藤县龙城大酒店', '藤县金源宾馆', '藤县源兴宾馆']","['158', '115', '60', '50']"
NA,[],[]
市博物馆周边酒店,"['梧州二房一厅高层小清新偷闲小屋', '梧州7日优品酒店', '梧州赣兴旅馆', '18精品酒店(梧州河东店)', '梧州伯豪酒店', '梧州夏威夷假日酒店', '梧州白云江景大酒店', '梧州赣发旅馆']","['210', '50', '50', '56', '106', '55', '122', '40']"
NA,[],[]
侗乡鸟巢（坐妹）周边酒店,"['三江和谐家园公寓', '柳州柳州纯属意外公寓', '柳州乌鸦的木槿公寓(2号店)', '三江侗乡国宾馆', '柳州小时光客栈福桥东路分店', '三江千百度精品酒店', '三江福禄山好旅酒店', '柳州小时光幸福客栈']","['191', '185', '78', '150', '38', '82', '246', '58']"
马鞍山公园周边酒店,"['明圆宾馆', '柳州天成大酒店', '柳州汇兴源宾馆', '柳州庆兴宾馆', '柳州隆福旅馆', '柳州豪富商务宾馆', '柳州富贵主题酒店', '柳州柳江聚龙宾馆']","['100', '168', '61', '89', '61', '48', '78', '52']"
香桥岩周边酒店,"['柳州德明精品公寓(10号店)', '山月宾馆(柳州柳邕店)', '馨平宾馆(柳州航银路店)', '柳州君祥民宿', '柳州大龙门宾馆', '柳州湘军宾馆', '柳州世冠大酒店', '柳州海上时尚宾馆']","['554', '49', '98', '51', '88', '46', '78', '101']"
NA,[],[]
柳航游船周边酒店,"['柳州庆兴宾馆', '柳州隆福旅馆', '柳州豪富商务宾馆', '柳州富贵主题酒店', '柳州柳江聚龙宾馆', '柳州兴国宾馆', '北海安姐公寓', '柳州新世纪宾馆']","['89', '61', '48', '78', '52', '52', '488', '73']"
NA,[],[]
柳州融水苗山周边酒店,"['柳州建兴旅社', '柳州天恒宾馆', '柳州华都旅馆', '柳州聚缘商务宾馆', '雅吉酒店(柳州柳南万达店)', '柳州五酱公寓(2号店)', '柳州豪府酒店', '浙广商务酒店(柳州柳南万达店)']","['88', '50', '28', '50', '79', '208', '84', '169']"
三江侗乡周边酒店,"['柳州建兴旅社', '柳州天恒宾馆', '柳州华都旅馆', '柳州聚缘商务宾馆', '雅吉酒店(柳州柳南万达店)', '柳州五酱公寓(2号店)', '柳州豪府酒店', '浙广商务酒店(柳州柳南万达店)']","['88', '50', '28', '50', '79', '208', '84', '169']"
金秀周边酒店,"['山月宾馆(柳州柳邕店)', '馨平宾馆(柳州航银路店)', '柳州君祥民宿', '柳州大龙门宾馆', '柳州湘军宾馆', '柳州世冠大酒店', '柳州海上时尚宾馆', '柳州建兴旅社']","['49', '98', '51', '88', '46', '78', '101', '88']"
都乐岩周边酒店,"['柳州尊皇祥兴大酒店', '柳州俪园公寓', '柳州唐女士特色民宿(柳石路分店)', '柳州优客时尚宾馆', '柳江华怡宾馆', '明圆宾馆', '柳州天成大酒店', '柳州汇兴源宾馆']","['88', '156', '32', '90', '46', '100', '168', '61']"
大瑶山周边酒店,"['柳州德明精品公寓(10号店)', '山月宾馆(柳州柳邕店)', '馨平宾馆(柳州航银路店)', '柳州君祥民宿', '柳州大龙门宾馆', '柳州湘军宾馆', '柳州世冠大酒店', '柳州海上时尚宾馆']","['554', '49', '98', '51', '88', '46', '78', '101']"
三门江周边酒店,"['柳州鑫宇商务宾馆', '城市便捷酒店(柳州西江路店)', '维也纳酒店(柳州西江万象城店)', '柳州京亭旅馆', '柳州宜家静兰酒店', '柳州海英主题酒店', '柳州尚沃宾馆', '柳州以马内利宾馆']","['50', '99', '377', '60', '112', '70', '68', '69']"
龙女沟周边酒店,"['融水弄富农庄', '融水鼓楼农家宾馆', '融水云居民宿']","['88', '128', '98']"
花果山周边酒店,"['柳州鑫宇商务宾馆', '柳州京亭旅馆', '柳州宜家静兰酒店', '柳州海英主题酒店', '柳州尚沃宾馆', '柳州以马内利宾馆', '柳州川渝酒店', '柳州广利旅社']","['50', '60', '112', '70', '68', '69', '83', '40']"
象州温泉周边酒店,"['柳州德明精品公寓(10号店)', '山月宾馆(柳州柳邕店)', '馨平宾馆(柳州航银路店)', '柳州君祥民宿', '柳州大龙门宾馆', '柳州湘军宾馆', '柳州世冠大酒店', '柳州海上时尚宾馆']","['554', '49', '98', '51', '88', '46', '78', '101']"
NA
元宝山周边酒店,"['柳州建兴旅社', '柳州天恒宾馆', '柳州华都旅馆', '柳州聚缘商务宾馆', '雅吉酒店(柳州柳南万达店)', '柳州五酱公寓(2号店)', '柳州豪府酒店', '浙广商务酒店(柳州柳南万达店)']","['88', '50', '28', '50', '79', '208', '84', '169']"
程阳风雨桥周边酒店,"['柳州建兴旅社', '柳州天恒宾馆', '柳州华都旅馆', '柳州聚缘商务宾馆', '雅吉酒店(柳州柳南万达店)', '柳州五酱公寓(2号店)', '柳州豪府酒店', '浙广商务酒店(柳州柳南万达店)']","['88', '50', '28', '50', '79', '208', '84', '169']"
柳侯公园周边酒店,"['柳州德明精品公寓(10号店)', '山月宾馆(柳州柳邕店)', '馨平宾馆(柳州航银路店)', '柳州君祥民宿', '柳州大龙门宾馆', '柳州湘军宾馆', '柳州世冠大酒店', '柳州海上时尚宾馆']","['554', '49', '98', '51', '88', '46', '78', '101']"
通灵大峡谷周边酒店,['靖西通灵山庄'],['138']
NA,[],[]
NA,[],[]
鹅泉周边酒店,"['靖西旧州亲水民宿', '靖西旧州客栈', '旧州民宿(靖西西南巷店)', '靖西山水一家人客栈', '靖西原生态住宿', '靖西佳合旅馆', '靖西鹅泉宾馆', '百色江滨农家乐']","['108', '138', '119', '158', '70', '50', '68', '60']"
NA,[],[]
旧州周边酒店,"['靖西旧州亲水民宿', '靖西旧州客栈', '旧州民宿(靖西西南巷店)', '靖西山水一家人客栈']","['108', '138', '119', '158']"
大王岭漂流周边酒店,"['百色景菲曼商务宾馆', '百色朗东商务酒店', '雅斯特酒店(百色火车站店)', '百色润福宾馆福州街分店', '百色恒悦主题宾馆', '百色和义精品酒店', '百色金瑞宾馆', '百色华风商务酒店']","['60', '59', '183', '50', '60', '69', '58', '67']"
NA,[],[]
澄碧湖周边酒店,"['百色春江商务宾馆', '百色天缘商务酒店', '百色虹雅旅馆', '城市便捷酒店(百色城北凤凰店)', '百色豪门旅馆', '恒源大酒店（百色恒基广场店）', '柏曼酒店(百色恒基广场店)', '百色万宁大酒店']","['49', '108', '38', '79', '39', '213', '91', '159']"
